Year,GDP (current US$)
1960,18606562979
1961,19682883152
1962,19922563190
1963,21539843449
1964,23801123811
1965,25976164159
1966,27307844373
1967,30442724874
1968,32714085238
1969,36683365874
1970,41333606618
1971,45216647240
1972,52042056075
1973,63832158873
1974,88963890936
1975,97304383449
1976,1.05061E+11
1977,1.10351E+11
1978,1.18492E+11
1979,1.34898E+11
1980,1.49984E+11
1981,1.76892E+11
1982,1.94037E+11
1983,1.77263E+11
1984,1.93517E+11
1985,1.80635E+11
1986,1.82472E+11
1987,1.89488E+11
1988,2.36153E+11
1989,2.99876E+11
1990,3.11431E+11
1991,3.25982E+11
1992,3.25532E+11
1993,3.12138E+11
1994,3.22809E+11
1995,3.68141E+11
1996,4.01311E+11
1997,4.35614E+11
1998,3.99661E+11
1999,3.8939E+11
2000,4.15845E+11
2001,3.79358E+11
2002,3.95573E+11
2003,4.67498E+11
2004,6.14326E+11
2005,6.95305E+11
2006,7.47907E+11
2007,8.54427E+11
2008,1.05569E+12
2009,9.2863E+11
2010,1.14857E+12
2011,1.39846E+12
2012,1.54695E+12
2013,1.57633E+12
2014,1.46759E+12
2015,1.35058E+12
2016,1.20656E+12
2017,1.32647E+12
2018,1.42827E+12
2019,1.39222E+12
2020,1.32694E+12
2021,1.5527E+12
2022,1.67542E+12